"mz","mzmin","mzmax","rt","rtmin","rtmax","into","intb","maxo","sn","sample","is_filled","msLevel","filename"
204.12121605728,204.120956420898,204.121383666992,35.661,30.5708,40.9794,537458.782162939,528115.323607807,64874.69140625,19,1,0,1,"Beer_multibeers_1_fullscan1.mzML"
204.121342058709,204.121139526367,204.121475219727,76.0304,70.7314,80.204,247879.161989035,239240.94781297,33833.4609375,10,1,0,1,"Beer_multibeers_1_fullscan1.mzML"
152.058552406471,152.058364868164,152.058776855469,90.7088,88.178,94.6919,856102.559215313,771273.951121613,188630.359375,3,1,0,1,"Beer_multibeers_1_fullscan1.mzML"
225.170970952443,225.170715332031,225.17121887207,95.9553,85.4578,99.7908,130856.144322266,112427.447944615,21504.9375,3,1,0,1,"Beer_multibeers_1_fullscan1.mzML"
246.242641724844,246.242568969727,246.242752075195,72.2282,64.3484,74.7637,1842116.38605107,1799886.74970082,202593.90625,23,1,0,1,"Beer_multibeers_1_fullscan1.mzML"
232.108215514958,232.10791015625,232.108749389648,98.5262,94.6919,102.55,106062.646858903,106056.098442236,21644.28515625,21643,1,0,1,"Beer_multibeers_1_fullscan1.mzML"
245.112977513242,245.112731933594,245.113067626953,97.2629,93.4269,102.55,224733.61657168,181883.180320383,44824.6953125,5,1,0,1,"Beer_multibeers_1_fullscan1.mzML"
127.072729053006,127.07266998291,127.072769165039,108.872,106.343,112.89,86311.9934441406,75312.1093711581,24597.20703125,4,1,0,1,"Beer_multibeers_1_fullscan1.mzML"
194.10053453982,194.100311279297,194.100708007812,3.05013,0.116381,9.57926,724362.230628173,666025.546265853,85097.53125,7,1,0,1,"Beer_multibeers_1_fullscan1.mzML"
186.091396131502,186.091323852539,186.091537475586,16.1233,0.116381,55.2373,5747467.51860788,5443760.84472949,139056.5,12,1,0,1,"Beer_multibeers_1_fullscan1.mzML"
178.105569825013,178.105514526367,178.105728149414,5.58738,0.116381,18.8518,2452225.66178705,2299045.55397792,149467.171875,11,1,0,1,"Beer_multibeers_1_fullscan1.mzML"
289.273497253312,289.273376464844,289.273773193359,125.944,123.416,129.921,92731.2766298827,84217.5435199497,22952.08984375,4,1,0,1,"Beer_multibeers_1_fullscan1.mzML"
89.1072942750343,89.1072616577148,89.1073532104492,124.679,95.9553,145.827,380828.015472263,351318.347942594,47249.953125,5,1,0,1,"Beer_multibeers_1_fullscan1.mzML"
74.0964258937105,74.0964126586914,74.0964431762695,35.661,0.116381,92.1599,21726818.1323832,21726726.0888642,356833.21875,279986,1,0,1,"Beer_multibeers_1_fullscan1.mzML"
74.0964294132739,74.0964202880859,74.0964508056641,111.399,107.607,118.132,3544877.14746094,3544865.30683594,331077.875,331077,1,0,1,"Beer_multibeers_1_fullscan1.mzML"
74.096420404357,74.0964126586914,74.0964279174805,99.7908,94.6919,101.057,2051272.86040687,2051265.22228687,304051.28125,304050,1,0,1,"Beer_multibeers_1_fullscan1.mzML"
104.057561813028,104.057525634766,104.057647705078,129.921,125.944,133.898,139074.959847656,122998.7433268,22746.8125,3,1,0,1,"Beer_multibeers_1_fullscan1.mzML"
75.0998140034381,75.0998001098633,75.0998382568359,133.898,129.921,136.424,71404.3904738283,71399.1880738283,19547.90625,19547,1,0,1,"Beer_multibeers_1_fullscan1.mzML"
329.005340422152,329.004760742188,329.005584716797,133.898,129.921,138.056,154804.193362631,145612.112456753,28886.548828125,5,1,0,1,"Beer_multibeers_1_fullscan1.mzML"
338.190111410872,338.189697265625,338.191040039062,138.056,133.898,143.3,155707.854649554,129132.15558215,29532.240234375,4,1,0,1,"Beer_multibeers_1_fullscan1.mzML"
366.372582248456,366.372253417969,366.373229980469,133.898,129.921,139.322,540114.286392579,442038.66341211,89144.7265625,7,1,0,1,"Beer_multibeers_1_fullscan1.mzML"
590.425707206015,590.425415039062,590.425964355469,139.322,131.186,143.3,132163.310173828,123802.317367831,24767.947265625,5,1,0,1,"Beer_multibeers_1_fullscan1.mzML"
87.0916875806035,87.0916595458984,87.0917129516602,74.7637,69.4627,81.472,620957.895736849,620944.552070182,64011.6171875,64011,1,0,1,"Beer_multibeers_1_fullscan1.mzML"
87.09168571436,87.0916748046875,87.0917205810547,89.4434,81.472,92.1599,563271.973191211,563259.949303711,72553.7890625,72553,1,0,1,"Beer_multibeers_1_fullscan1.mzML"
87.0916659280383,87.0916213989258,87.0917129516602,129.921,128.657,135.161,373998.109574999,373990.304775,68301.0625,68300,1,0,1,"Beer_multibeers_1_fullscan1.mzML"
87.0916932948701,87.0916519165039,87.0917205810547,43.524,39.707,48.6991,373125.864770982,373115.588085268,51881.12890625,51880,1,0,1,"Beer_multibeers_1_fullscan1.mzML"
87.091670415784,87.0916366577148,87.0916976928711,94.6919,92.1599,94.6919,209815.045429688,209811.247429688,70851.75,70851,1,0,1,"Beer_multibeers_1_fullscan1.mzML"
87.0916753917605,87.0916519165039,87.0917129516602,17.581,7.04338,30.5708,523250.323719026,523225.489220137,37415.5859375,29365,1,0,1,"Beer_multibeers_1_fullscan1.mzML"
87.091687604254,87.091667175293,87.0917053222656,60.3563,55.2373,64.3484,464284.628615011,464274.215929297,63049.828125,63049,1,0,1,"Beer_multibeers_1_fullscan1.mzML"
87.0916850404435,87.091667175293,87.0917053222656,111.399,106.343,119.396,637503.043858594,637488.685558594,67091.7578125,67091,1,0,1,"Beer_multibeers_1_fullscan1.mzML"
87.0916888373586,87.0916595458984,87.0917129516602,37.1615,33.115,39.707,210829.76591875,210821.85551875,45322.17578125,45321,1,0,1,"Beer_multibeers_1_fullscan1.mzML"
87.0916747075603,87.0916442871094,87.0917053222656,101.057,97.2629,106.343,436578.610916351,436568.233659208,60401.7109375,55973,1,0,1,"Beer_multibeers_1_fullscan1.mzML"
